TYRP1	8078.69365431728	-14.4493629855697	0.914166940067096	-14.7121520108599	5.38667393636038e-49	4.69448633553807e-45	DOWN
KRT6C	955.99973842217	-12.4416129448307	1.1448661852429	-9.99384302926477	1.62169850259541e-23	1.28482749546536e-20	DOWN
LGI3	702.19203840316	-12.0794953405989	1.14935618703626	-9.63974046128258	5.43251525908221e-22	3.38174074877868e-19	DOWN
OCA2	661.809457371051	-12.0454200254523	1.15018456274862	-9.60317185883351	7.75213419478396e-22	4.50398996716948e-19	DOWN
KRT75	929.254996759682	-12.0034985245866	1.12762199807849	-9.75814461170233	1.70241163579117e-22	1.14127056968616e-19	DOWN
KRT1	575.334164415289	-11.8976931656392	1.15471178498373	-9.43758720345333	3.81461871651085e-21	2.0777751321495e-18	DOWN
TYR	893.863497222195	-11.8804305553435	1.15795215013378	-9.3962695730445	5.65318828211612e-21	2.89809034580247e-18	DOWN
CRCT1	516.224217361724	-11.7114363766932	1.16169571357433	-9.22051811978891	2.95668050229582e-20	1.28837352887541e-17	DOWN
DCT	774.582586286291	-11.3068493102444	0.977837068964571	-10.5404567257389	5.622517257586e-26	5.15791977893285e-23	DOWN
LCE3D	793.323817802191	-11.1862175921241	1.01372212472701	-10.0483331118645	9.34344423720771e-24	8.14281165272652e-21	DOWN
KIF1A	200.920322846114	-10.536658287908	1.19024210220815	-8.01236846706692	1.12520151796918e-15	2.28049563467474e-13	DOWN
NOS1	180.604988940379	-10.386356673384	1.19679369596984	-7.84291954828317	4.40190030828197e-15	7.59654676963909e-13	DOWN
PMEL	4534.52508471441	-10.2591511602866	0.43244221656676	-21.4113026100846	1.04841011920445e-101	1.82737883777335e-97	DOWN
SPINK6	148.501873100119	-10.1669432193246	1.20244332331239	-7.62359692269927	2.46702906126576e-14	3.70692383947088e-12	DOWN
MCF2L	167.483891150818	-10.0823769476739	1.14466062085844	-7.93455875232486	2.1124500338968e-15	3.83541709279388e-13	DOWN
KRT6B	2661.12754791213	-10.0732185393605	0.636367351124883	-14.2578316177317	4.00712992617527e-46	2.32814248710783e-42	DOWN
KRTDAP	284.816704393325	-10.0156925396679	0.966158252739062	-9.33148634202355	1.04396483797917e-20	5.19894489313628e-18	DOWN
KRT17	22170.1642815072	-9.98303351749082	0.748865869636997	-11.9955173305538	3.75066380879738e-33	9.33915288390546e-30	DOWN
HOPX	133.529972993314	-9.97114403538377	1.20955904893715	-7.41687149814373	1.19919192382987e-13	1.60783963325804e-11	DOWN
IRF4	281.314616768429	-9.96548348536933	0.983189531524294	-9.11877435418747	7.59786938578654e-20	2.94290807542799e-17	DOWN
LCE3E	131.472294372251	-9.91757655960693	1.21240921624952	-7.35525302850523	1.9056578832394e-13	2.4974148048769e-11	DOWN
KRT31	115.215649915089	-9.86355800561084	1.21131502489258	-7.3173021249339	2.53005804367103e-13	3.14992226437044e-11	DOWN
MAL	114.608775536724	-9.8451407622216	1.2110448211558	-7.30372700308477	2.79904012219617e-13	3.43572319224502e-11	DOWN
CALML5	115.587845105913	-9.80286193274472	1.21458447476597	-7.24763251600175	4.24119432237784e-13	5.06328883829081e-11	DOWN
PKNOX2	100.155939276952	-9.66787017679008	1.21662379305461	-7.12452791592002	1.0443802221741e-12	1.13772170453091e-10	DOWN
MLANA	525.398100794025	-9.65645324371078	0.788240869991571	-10.9819898628237	4.665325343724e-28	5.80833005293638e-25	DOWN
CALML3	221.772651410361	-9.5998190853037	1.03629683998855	-8.29860591430416	1.05340165964139e-16	2.55010985104853e-14	DOWN
LCE6A	95.8400458416861	-9.54396076582651	1.22417478986854	-6.97936343448473	2.96520504999368e-12	3.00485604775522e-10	DOWN
A2ML1	311.569665150238	-9.52833460995112	1.06623212988725	-7.99857214099612	1.25870268989165e-15	2.52174573388638e-13	DOWN
LCE1A	88.4700674999231	-9.42446672552633	1.22808041977591	-6.85986568132368	6.89253240052328e-12	6.42442993268025e-10	DOWN
LGALS7B	104.818702228526	-9.38928728465808	1.20142245647032	-6.98279546838594	2.89363540031214e-12	2.94947748698483e-10	DOWN
TRPM1	83.7973260893787	-9.27696414882224	1.20230563504267	-6.8842429974376	5.8095633835312e-12	5.62559387638604e-10	DOWN
FAM69C	74.4314234529421	-9.22321957031136	1.23149408993134	-6.67743323946428	2.43163318389897e-11	2.0475056229642e-09	DOWN
TRIM63	76.816703260462	-9.19241893154875	1.20378005728642	-6.80557788107589	1.00644413982788e-11	9.04243368927836e-10	DOWN
ALOX15B	79.7303743507505	-9.16626199230343	1.23370323280126	-6.61930825435307	3.60883612065025e-11	2.93934642910906e-09	DOWN
LCE1B	62.7229794736801	-9.00933507838087	1.24138697573032	-6.45192452874649	1.10438578336239e-10	8.02060175166937e-09	DOWN
GJB6	59.287017782114	-8.90089418637249	1.24330189242479	-6.35476728098876	2.08742397253331e-10	1.41571205607999e-08	DOWN
LGALS7	137.093624236527	-8.88285135693031	1.07459127204134	-7.33567409491022	2.20608260888294e-13	2.79941711508073e-11	DOWN
SLC45A2	128.741850617941	-8.88020711182706	1.00395029392506	-7.8492004629218	4.18697912025738e-15	7.29790460660861e-13	DOWN
IGFL3	55.1300871186529	-8.87978860086989	1.24558612654279	-6.32616920898181	2.51322218707725e-10	1.67837021918607e-08	DOWN
S100B	53.5074362834296	-8.86899890432092	1.24531764460557	-6.3188688752686	2.63484720219134e-10	1.75287735626699e-08	DOWN
RRAGD	109.647636504122	-8.85801756992528	1.09392011880361	-7.18335592777962	6.8020710752992e-13	7.73485941417654e-11	DOWN
