case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
ABI2	510.445160669109	578.802553507268	842.751346087661	588.470227003283	433.542900051692	769.123971984255	545.560407147954	553.107786433439	798.902200436906	141.515187609035	122.448695841961	168.715925972325
ABI3	0	0	0	0	0	1.88049870900796	0	0	0	0.38144255420225	0	0
ABI3BP	1156.15023773003	358.667811845487	401.310164803648	599.137361027512	313.114316703999	182.408374773772	32.2498762846081	231.707315938333	57.0644428883505	10.2989489634607	7.07211939681291	7.2188965880579
ABL1	1914.57191178413	1730.71452065124	1266.63520766151	1468.50878400215	1113.17899216171	910.161375159852	769.965796295019	989.614471943072	895.911753347102	1199.82755424318	916.546673826954	822.54170266214
ABL2	1811.51673739037	2404.4027386679	1524.97862625386	1708.5192995473	1183.34173202515	1436.70101368208	779.372010211363	1122.65931786895	913.031086213607	3792.11115260166	2905.22664821074	1401.90971740084
ABLIM1	12.8818967992204	161.30562966596	441.441181284013	280.901195971356	1012.6473051932	1054.95977575347	1010.49612358439	1311.01494243818	1131.77811728562	4993.84591961585	5932.90199226345	2086.67362232519
ABLIM2	0	0	0	0	1.04720507258863	5.64149612702388	17.4686829874961	4.48465772783869	7.6085923851134	102.417325803304	133.359965768472	49.9135135517146
ABLIM3	610.279860863067	1003.89033050933	777.538444307068	513.800288833682	271.226113800454	261.389320552106	26.8748969038401	152.478362746516	39.9451100218453	176.035738764338	474.03406014066	255.136430840789
ABO	0	0	0	0	38.7465876857792	26.3269819261114	37.6248556653761	70.2596377361395	26.6300733478969	1.14432766260675	0	0
ABR	979.024156740752	1060.82172921496	622.030755445655	876.482845657458	550.829868181618	402.426723727703	321.155018000889	355.782846408536	264.39858538269	1409.81168033151	1627.79982459214	1637.45200035976
ABRA	11.2716596993179	0	0	7.11142268281913	1.04720507258863	0	1.343744845192	0	0	0.190721277101125	2.82884775872517	0
ABRACL	35.4252161978562	49.3405455448819	42.6392050103876	44.4463917676196	51.3130485568427	67.6979535242865	229.780368527833	95.6726981938921	157.878291991103	102.608047080405	147.908325670487	110.345990703171
ABT1	78.9016178952251	111.965084121078	60.1965247205472	71.1142268281913	123.570198565458	84.6224419053582	176.030574720153	104.64201364957	98.9117010064741	355.885903070699	308.950587363627	329.18168441544
ABTB1	45.0866387972715	75.9085316075106	100.327541200912	53.3356701211435	39.7937927583678	114.710421249485	158.561891732657	106.136899558849	136.954662932041	120.726568405012	107.294154277362	119.833683361761
ABTB2	64.4094839961021	64.522251866384	130.425803561186	53.3356701211435	174.883247122301	218.137850244923	221.717899456681	182.376080932107	426.08117356635	288.370570976901	244.089149467143	292.46843891046
ACAA1	180.346555189086	227.725594822532	160.524065921459	152.895587680611	116.239763057338	86.5029406143661	162.593126268233	121.085758651645	203.529846301783	384.684815912969	475.246423465828	458.090552059331
ACAA2	209.330822987332	172.691909407087	213.196025051938	202.675546460345	35.6049724680133	41.3709715981751	4.03123453557601	14.9488590927956	5.70644428883505	134.649221633394	165.891714993811	121.689971055833
ACACA	980.634393840654	1301.83131706881	682.227280166202	1171.60688699445	1737.31321542453	1150.86520991287	1984.71113634859	1989.6931452511	1647.26025137705	902.874525796725	1052.93754790835	1394.69082081279
ACACB	127.208730892302	75.9085316075106	90.2947870808209	85.3370721938296	68.0683297182607	94.0249354503979	193.499257707649	145.003933200118	104.618145295309	128.736862043259	118.609545312262	148.296761337532
ACAD10	106.275648593568	153.714776505209	188.11413975171	167.11843304625	156.033555815705	112.829922540478	186.780533481689	185.365852750666	135.052514835763	146.855383367866	128.5105124678	150.359303219835
ACAD11	27.3740306983434	30.3634126430042	27.5900738302508	32.0014020726861	12.5664608710635	15.0439896720637	9.40621391634403	17.9386309113548	19.0214809627835	1.90721277101125	3.23296886711447	3.30006701168361
ACAD8	61.189009796297	72.113105027135	80.2620329607296	60.4470928039626	52.3602536294313	47.012467725199	75.2497113307523	71.7545236454191	70.3794795622989	79.1493299969668	110.123002036087	103.952110868034
ACAD9	230.263905286065	225.827881532344	243.294287412212	193.786268106821	359.191339897899	167.364385101708	274.123948419169	295.987410037354	161.68258818366	217.612977172383	300.868165195841	325.262854839066
ACADL	0	0	0	0	0	0	0	0	0	1.71649149391012	1.21236332516793	0.618762564690677
ACADM	91.7835146944455	72.113105027135	152.999500331391	106.671340242287	127.759018855812	75.2199483603184	72.5622216403683	95.6726981938921	85.5966643325257	41.0050745767418	37.3812025260111	55.2761224457005
ACADS	28.9842677982459	11.3862797411266	25.081885300228	35.5571134140957	8.37764058070901	9.40249354503979	14.7811932971121	11.9590872742365	3.8042961925567	102.035883249102	84.6633722075603	145.82171107877
ACADSB	198.059163288014	142.328496764082	163.032254451482	151.117732009907	78.540380444147	65.8174548152786	51.0623041172962	59.7954363711826	30.4343695404536	20.0257340956181	29.0967198040303	24.7505025876271
ACADVL	694.012190058	785.653302137734	1096.07838761996	504.911010480158	845.094493579022	1171.55069571196	1973.96117758706	1233.28087515564	1603.51084516265	1590.80617230048	1237.41883388807	1270.73205368642
ACAN	17.7126080989281	9.48856645093882	0	206.231257801755	1.04720507258863	1.88049870900796	1.343744845192	2.98977181855913	1.90214809627835	0.953606385505624	0.202060554194655	0.206254188230226
ACAP1	30.5945048981485	47.4428322546941	37.622827950342	28.4456907312765	26.1801268147157	18.8049870900796	44.3435798913362	37.3721477319891	7.6085923851134	21.7422255895282	8.89066438456481	20.0066562583319
ACAP2	938.768229243188	861.561833745245	1028.35729730935	1107.60408284908	659.739195730835	880.073395815725	514.654275708538	657.749800083008	751.348498029948	186.5254090049	193.16988981009	200.479070959779
ACAP3	138.48039059162	153.714776505209	165.540442981505	147.562020668497	82.7292007345015	97.7859328684139	65.8434974144082	103.14712774029	64.6730352734639	243.932513412339	255.202479947849	228.73589474732
ACAT1	330.098605480023	297.940986559479	218.212402111984	321.791876397566	170.694426831946	154.200894138653	161.249381423041	219.748228664096	233.964215842237	85.0616895871017	111.941547023839	176.141076748613
ACAT2	56.3582984965893	125.249077152392	72.7374673706612	55.1135257918483	113.098147839572	122.232416085517	216.342920075913	125.570416379483	211.138438686897	106.422472622428	211.355339687609	353.725932814837
ACBD3	619.941283462483	652.813371824591	496.621328944515	538.690268223549	432.495694979103	827.419431963502	663.80995352485	512.745866882891	1063.3007858196	226.004713364833	273.994111487952	139.015322867172
ACBD4	43.4764016973689	72.113105027135	82.7702214907524	48.0021031090292	19.8968963791839	30.0879793441273	48.3748144269122	25.4130604577526	11.4128885776701	43.6751724561576	28.692598695641	30.9381282345339
ACBD5	241.535564985383	176.487335987462	135.442180621231	241.788371215851	152.89194059794	212.496354117899	204.249216469185	156.963020474354	199.725550109227	82.0101491534837	86.0777960869229	65.795086045442
ACBD6	143.311101891327	149.919349924833	125.40942650114	128.005608290744	181.166477557832	109.068925122462	115.562056686512	125.570416379483	117.933181969258	118.247191802697	160.63814058475	170.778467854627
ACBD7	4.83071129970766	3.79542658037553	25.081885300228	3.55571134140957	1.04720507258863	5.64149612702388	18.8124278326881	1.49488590927956	0	2.2886553252135	5.45563496325568	1.85628769407203
ACCS	57.9685355964919	144.22621005427	87.786598550798	53.3356701211435	68.0683297182607	24.4464832171035	55.0935386528722	80.7238391010965	49.4558505032371	29.1803553964721	16.5689654439617	25.9880277170084
ACCSL	0	0	0	0	1.04720507258863	0	0	0	0	36.2370426492137	29.5008409124196	45.5821755988799
ACD	25.7637935984408	39.851979093943	67.7210903106156	46.2242474383244	134.042249291344	135.395907048573	174.686829874961	143.509047290838	165.486884376216	155.819283391619	138.007358514949	218.010676959349
ACE	123.988256692497	138.533070183707	57.6883361905244	165.340577375545	8.37764058070901	22.5659845080955	1.343744845192	5.97954363711826	3.8042961925567	2.2886553252135	7.27417995100757	4.12508376460451
ACE2	0	1.89771329018776	0	0	2.09441014517725	9.40249354503979	36.2811108201841	8.96931545567739	7.6085923851134	0.572163831303374	0	1.03127094115113
ACER1	0	0	0	0	0	0	0	0	0	0.953606385505624	5.45563496325568	8.86893009389971
ACER2	17.7126080989281	39.851979093943	30.0982623602736	21.3342680484574	19.8968963791839	13.1634909630557	112.874566996128	29.8977181855913	5.70644428883505	66.7524469853937	74.7624050520222	43.5196337165776
ACER3	220.60248268665	195.46446888934	137.950369151254	234.676948533031	281.698164526341	220.018348953931	421.93588139029	209.284027299139	330.973768752433	167.262560017686	158.01135338022	225.435827735637
ACHE	4.83071129970766	0	0	0	8.37764058070901	3.76099741801592	18.8124278326881	7.47442954639782	9.51074048139174	3.24226171071912	3.23296886711447	8.66267590566948
