Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
AADAT	2.2396624550277	2.56617146471989e-05	UP	1.90854457583675	0.000446673787656935	UP	1.4347036751999	0.0124486632104909	UP
AAED1	1.83772187978	0.00154266291510809	UP	1.35532256350213	0.0253399623065842	UP	1.20152813167902	0.0536977318338667	NOT
ABCA8	3.69923612677339	0.0001100981863269	UP	3.06921889259719	0.00185769517670667	UP	0.279509171921774	0.855313406278949	NOT
ABCC1	1.46295638240534	6.04601744396794e-06	UP	1.1031093664155	0.000929884281903052	UP	0.780529969840217	0.0249892962702153	NOT
ABCC4	1.97454788211418	0.000135594192651479	UP	1.89933252684039	0.000291874754459518	UP	1.31434693864756	0.0165850071572151	UP
ABCC9	7.53685999925396	1.43428146705977e-11	UP	7.43378588132497	3.31439883870599e-11	UP	3.30232260271366	0.00741897966033086	UP
ABI3BP	5.87532207624007	7.02446329354302e-17	UP	5.08540640803971	8.76049506669137e-13	UP	3.47636421965717	2.23893345479769e-06	UP
ACAD11	3.22365949821634	1.24603877803074e-07	UP	2.70406891858667	1.56520510411706e-05	UP	2.35264301728675	0.000298732534995206	UP
ACADSB	2.69905641638189	1.57765338068646e-10	UP	1.9020464418874	1.32321513222018e-05	UP	0.890104303165407	0.0703856061173554	NOT
ACAP2	2.26252477584924	1.54942846710275e-15	UP	2.16246381663684	3.19143467612706e-14	UP	1.71209570496973	3.51722601066794e-09	UP
ACKR4	8.56426067874574	2.18878384207685e-22	UP	6.96717338373378	4.91861927517419e-15	UP	3.24644034995193	0.000618229201518308	UP
ACSL5	3.08697645842661	2.6960118903934e-09	UP	2.00261002212408	0.000333461609913475	UP	1.94946794539204	0.000596615693106205	UP
ACSS3	5.98361237889681	1.72279570469344e-18	UP	4.67897197195378	1.82400161837306e-11	UP	3.09239936859044	2.96319038615479e-05	UP
ACTR3	1.46544302199969	3.93212259438055e-06	UP	1.25709427584933	0.000102423471780583	UP	1.01157679211124	0.00231541402556734	UP
ACVRL1	6.00610515704713	2.15105563722287e-15	UP	4.64405075267596	1.83597177627561e-09	UP	2.03305007420773	0.0178733624845859	UP
ADAM12	5.80411798606623	1.19401686778602e-10	UP	4.95789485972197	5.77734738772728e-08	UP	2.13835429544841	0.0314448179574457	UP
ADAM19	4.72851534826309	2.32872400748029e-10	UP	4.43651778360567	3.78834435638985e-09	UP	3.80488990735418	6.36301083996021e-07	UP
ADAM21	1.84834829783469	0.0238594550772714	UP	1.66672853543153	0.0450394955104715	UP	0.279074014016771	0.820930273583749	NOT
ADAM33	6.52700807629374	3.57127277975685e-06	UP	5.48525959288264	0.000135681704302058	UP	2.86823632031442	0.0642179383305235	NOT
ADAM9	3.0589245826052	1.11287029640108e-12	UP	2.23199574296761	3.73255860252994e-07	UP	1.77326130274158	7.69392709975725e-05	UP
ADAMTS12	8.19556270810607	1.34127777842877e-17	UP	7.53340801691448	6.48226731458202e-15	UP	5.43808444798229	4.1519758227083e-08	UP
ADAMTS2	3.24113020422523	0.000752086408502608	UP	2.75838010512957	0.00523980258411464	UP	0.950771696550306	0.408877031669099	NOT
ADAMTS3	3.34088641366284	1.00927400601211e-08	UP	2.22719450925639	0.000297276353586708	UP	0.473411244103394	0.574771201359237	NOT
ADAMTS5	6.14517663553477	6.30755756217643e-09	UP	5.57438345466482	1.92361831235144e-07	UP	2.01641875385254	0.0927803560229803	NOT
ADAMTS9-AS2	4.00465505174906	1.03504135152153e-05	UP	2.95837147044898	0.00185945053351208	UP	0.562290953531012	0.679230556690827	NOT
ADAMTSL1	5.83576297737225	1.33092234150057e-06	UP	5.41889781818012	9.32213598117228e-06	UP	0.6864180611315	0.683558278260074	NOT
ADAMTSL4-AS1	1.51670847344448	0.00706692309856124	UP	1.28260454688281	0.0261395967358946	UP	0.757448442793294	0.242849431424428	NOT
ADCY4	5.1197325254937	4.44411502245007e-10	UP	3.84739371504768	5.4715995672686e-06	UP	1.33503303056043	0.195895824954891	NOT
ADD3	2.34959249298553	0.000402533114193544	UP	2.07786471105846	0.00219939737445052	UP	1.04142568939256	0.162350443163391	NOT
ADGRD1	6.82835308233706	2.53719792558817e-06	UP	5.81880734164757	8.41183570245298e-05	UP	2.82065902687447	0.0807313321341369	NOT
ADGRG2	3.06670041279928	6.82172707471522e-05	UP	1.73696335774673	0.0427973020338348	UP	0.0445306787414381	0.983502933285743	NOT
ADGRL2	2.63510365098605	1.82458554697896e-06	UP	1.57023590243827	0.00690164624551664	UP	0.944629704998773	0.131095272349114	NOT
ADGRL4	8.80920057072277	5.29562937807556e-15	UP	8.16659297869712	6.33734568088441e-13	UP	4.81807637815327	0.000107657351537313	UP
ADH1C	4.42990606305696	0.00422289869392922	UP	3.70840718955113	0.0214873881859888	UP	3.25854164953356	0.0522888606685199	NOT
ADORA1	3.58723007904723	0.00176406853088078	UP	3.10459391070721	0.00853520918298007	UP	2.39715913425817	0.0529022126974953	NOT
ADRA1B	3.59615463660111	0.00642736167009933	UP	3.10541846183026	0.0226892963022302	UP	0.446591493669592	0.827532460874847	NOT
ADRA1D	6.93642165714708	8.02665780231851e-10	UP	4.37441111024912	0.00027716007729013	UP	2.43194904150575	0.0838535471745358	NOT
ADRA2A	7.00521641273705	2.94021985056822e-08	UP	6.37147568569907	6.85066088228351e-07	UP	0	1	NOT
AFF2	4.75650947461058	4.02384961787909e-05	UP	3.42161915066843	0.00492571835743676	UP	2.44333476502701	0.0618000093356771	NOT
